# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	17438
#@/user_id	965b802b-6d45-476d-ab25-d046d79127f1
a 	啊	c=1 d=1 t=17434
bu yi lai le 	不依賴了	c=1 d=1 t=4543
bu ying gai 	不應該	c=1 d=1 t=574
bu you hao 	不友好	c=1 d=1 t=14151
bu zai 	不再	c=1 d=1 t=14833
bu zeng jia 	不增加	c=1 d=1 t=10743
bu zhan 	不佔	c=1 d=1 t=5262
bu zheng que 	不正確	c=1 d=1 t=3320
bu zhi 	不知	c=3 d=1.00318 t=15806
bu zhi 	佈置	c=1 d=1 t=16802
bu zhi dao 	不知道	c=2 d=1.00764 t=14579
bu zhong yao 	不重要	c=1 d=1 t=15166
bu zhou 	步驟	c=1 d=1 t=4810
bu zhun que 	不準確	c=1 d=1 t=6308
bu zhuo 	捕捉	c=1 d=1 t=12611
ca diao 	擦掉	c=1 d=1 t=16424
cai 	才	c=9 d=1.04635 t=16491
cai ce 	猜測	c=1 d=1 t=12269
cai fa xian 	纔發現	c=1 d=1 t=13197
cai gou 	採購	c=2 d=1 t=17079
cai hui 	纔會	c=2 d=1.97045 t=10452
cai ji 	採集	c=3 d=1.52729 t=16943
cai jian 	裁剪	c=2 d=1.99005 t=13892
cai liao 	材料	c=3 d=2.09426 t=13914
cai neng 	才能	c=2 d=1 t=10434
cai qi 	才氣	c=1 d=1 t=15523
cai se 	彩色	c=6 d=1 t=16948
cai shi 	纔是	c=6 d=1.35523 t=15395
cai yang 	採樣	c=18 d=1.91864 t=16175
cai you 	纔有	c=1 d=1 t=14871
cai zun 	才尊	c=1 d=1 t=2739
can cha 	參差	c=1 d=1 t=9265
can cha 	慘差	c=1 d=1 t=9264
can kan 	參看	c=1 d=1 t=14292
can kao 	參考	c=4 d=1.90264 t=14314
can shu 	參數	c=30 d=1.00892 t=16977
can shu hua 	參數化	c=1 d=1 t=7149
can shu liang 	參數量	c=1 d=1 t=12524
cang jing 	蒼勁	c=1 d=1 t=15631
cang ku 	倉庫	c=1 d=1 t=2272
cang zai 	藏在	c=1 d=1 t=13444
cao 	草	c=1 d=1 t=2986
cao cao 	草草	c=1 d=1 t=15573
cao shu 	草書	c=1 d=1 t=10921
cao zuo 	操作	c=36 d=1.92893 t=13694
ce 	測	c=1 d=1 t=3152
ce 	策	c=1 d=1 t=10214
ce lian 	側鏈	c=0 d=0.1 t=3733
ce liang 	測量	c=18 d=4.35369 t=14022
ce liang man 	測量滿	c=1 d=1 t=3918
ce lv 	測率	c=1 d=1 t=7271
ce lve 	策略	c=11 d=1.15107 t=16828
ce shi 	測試	c=10 d=1.00016 t=16262
ce shi ji 	測試集	c=1 d=1 t=14131
ce shi tu 	側視圖	c=3 d=1.00082 t=16819
ce xu 	測序	c=1 d=1 t=9698
ceng 	層	c=15 d=2.22067 t=13859
ceng ji 	層級	c=1 d=1 t=14124
ceng jing 	曾經	c=4 d=1.50409 t=10488
ceng mian 	層面	c=1 d=1 t=974
ceng shu 	層數	c=2 d=1.82283 t=6311
cha 	差	c=1 d=1 t=4735
cha bu duo de 	差不多的	c=1 d=1 t=4931
cha fen 	差分	c=2 d=1.00366 t=8173
cha fen 	查分	c=5 d=1.04036 t=7692
cha hua 	插畫	c=1 d=1 t=13546
cha ju 	差距	c=4 d=1.00196 t=16556
cha kan 	查看	c=5 d=1.99005 t=17093
cha si 	茶肆	c=1 d=1 t=13712
cha xun 	查詢	c=4 d=1 t=12649
cha yi 	差異	c=3 d=1.00003 t=15319
cha zhan 	茶棧	c=2 d=1.99501 t=16605
cha zhao 	查找	c=7 d=4.80947 t=16606
cha zheng 	查證	c=1 d=1 t=13561
cha zhi 	插值	c=3 d=1.30349 t=2086
cha zhong 	茶盅	c=1 d=1 t=16001
chai jie 	拆解	c=1 d=1 t=16379
chai mi you yan 	柴米油鹽	c=1 d=1 t=15575
chan cheng 	禪城	c=1 d=1 t=8262
chan chu 	產出	c=1 d=1 t=14948
chan sheng 	產生	c=11 d=1 t=16631
chan xiao 	產銷	c=0 d=0.1 t=7778
chang 	場	c=7 d=0.547088 t=16577
chang 	長	c=2 d=1 t=13661
chang chang 	常常	c=3 d=1 t=15518
chang chang 	長長	c=1 d=1 t=15729
chang du 	長度	c=4 d=1 t=16068
chang gui 	常規	c=1 d=1 t=8400
chang guo 	唱過	c=1 d=1 t=2008
chang he 	長河	c=1 d=1 t=5873
chang jia 	廠家	c=1 d=1 t=17025
chang jian 	常見	c=2 d=1 t=14359
chang jing 	場景	c=32 d=1.00007 t=15907
chang jiu 	長久	c=1 d=1 t=14606
chang le 	長了	c=1 d=1 t=14652
chang liang 	常量	c=4 d=1 t=9494
chang pian 	長篇	c=1 d=1 t=2237
chang qiang 	長槍	c=1 d=1 t=13371
chang sheng 	長生	c=4 d=1.94649 t=8272
chang shi 	嘗試	c=1 d=1 t=16703
chang shu 	常數	c=1 d=1 t=9497
chang yang 	長陽	c=1 d=1 t=5089
chang yong 	常用	c=5 d=1.03839 t=5746
chao 	超	c=4 d=1 t=17284
chao can shu 	超參數	c=1 d=1 t=6297
chao da 	超大	c=2 d=1.70117 t=12550
chao fen 	超分	c=1 d=1 t=6431
chao guo 	超過	c=2 d=1.03526 t=2009
chao ji 	超級	c=0 d=0.1 t=2454
chao ji 	超集	c=1 d=1 t=1417
chao ji kuai 	超級塊	c=4 d=2.11565 t=2945
chao suan 	超算	c=1 d=1 t=15360
chao xian cheng 	超線程	c=1 d=1 t=13644
chao yan 	超驗	c=1 d=1 t=15054
che huan 	撤換	c=1 d=1 t=17309
che liang 	車輛	c=4 d=2.96042 t=6540
chen dian 	沉澱	c=1 d=1 t=10445
chen mo 	沉默	c=1 d=1 t=13412
chen ping 	陳平	c=2 d=1 t=16046
chen yan 	塵煙	c=0 d=0.1 t=16995
cheng 	成	c=5 d=1 t=11086
cheng ben 	成本	c=0 d=0.1 t=5197
cheng bi li 	成比例	c=1 d=1 t=1679
cheng cheng 	澄城	c=1 d=1 t=12064
cheng du 	程度	c=4 d=1 t=17345
cheng du shang 	程度上	c=1 d=1 t=13991
cheng fa 	懲罰	c=1 d=1 t=1644
cheng gong 	成功	c=1 d=1 t=4222
cheng ji 	成績	c=1 d=1 t=15889
cheng jian 	城建	c=2 d=1 t=8225
cheng jiu 	成就	c=2 d=1.89137 t=52
cheng li 	成立	c=0 d=0.1 t=15700
cheng ming 	成名	c=1 d=1 t=2417
cheng qi lai 	乘起來	c=1 d=1 t=12813
cheng qu 	城區	c=1 d=1 t=1962
cheng shi li 	城市裏	c=1 d=1 t=15596
cheng wei 	成爲	c=7 d=1 t=12465
cheng wei 	稱爲	c=1 d=1 t=12466
cheng wu 	乘務	c=1 d=1 t=2836
cheng xian 	呈現	c=0 d=0.1 t=12037
cheng xian shi 	呈現是	c=1 d=1 t=12038
cheng xin 	誠信	c=1 d=1 t=12868
cheng xu 	程序	c=20 d=1 t=16572
cheng xu yuan 	程序員	c=1 d=1 t=740
cheng yin 	成因	c=1 d=1 t=6440
cheng yuan 	成員	c=1 d=1 t=17228
cheng zhang 	成長	c=4 d=1.00002 t=16905
cheng zhi wei 	稱之爲	c=2 d=1.00357 t=12671
cheng zhong 	稱重	c=1 d=1 t=14366
chi 	喫	c=1 d=1 t=15387
chi de 	喫得	c=1 d=1 t=15653
chi dian 	喫點	c=1 d=1 t=1221
chi du 	尺度	c=3 d=1.72253 t=9113
chi guo 	喫過	c=1 d=1 t=13521
chi jin lai 	喫近來	c=1 d=1 t=3109
chi jiu 	持久	c=1 d=1 t=15391
chi na 	喫拿	c=1 d=1 t=17261
chi xia qu 	喫下去	c=1 d=1 t=3110
chi xu 	持續	c=1 d=1 t=5006
chong 	翀	c=2 d=1.00011 t=8422
chong 	重	c=3 d=1.047 t=12619
chong can shu 	重參數	c=3 d=1.30515 t=12898
chong can shu hua 	重參數化	c=1 d=1 t=12588
chong fen 	充分	c=2 d=1.00007 t=11917
chong fu 	重複	c=3 d=1 t=9800
chong jian 	重建	c=26 d=2.15708 t=8567
chong jin 	衝進	c=1 d=1 t=16750
chong man 	充滿	c=1 d=1 t=13326
chong qu 	衝去	c=3 d=2.95581 t=4148
chong shi bie 	重識別	c=5 d=4.33524 t=6482
chong tu 	衝突	c=1 d=1 t=2786
chong xian 	重現	c=1 d=1 t=1191
chong xin 	重新	c=7 d=1 t=17150
chong zu 	重組	c=1 d=1 t=6974
chou da 	抽打	c=1 d=1 t=13340
chou qu 	抽取	c=5 d=1 t=8068
chou wei 	臭味	c=1 d=1 t=12464
chou xiang 	抽象	c=6 d=1 t=13531
chou xin 	抽心	c=1 d=1 t=6768
chou yang 	抽樣	c=1 d=1 t=8064
chu 	出	c=4 d=1 t=13294
chu 	處	c=2 d=1.47237 t=8456
chu bian 	出變	c=1 d=1 t=14349
chu bu 	初步	c=2 d=1 t=12268
chu cuo 	出錯	c=1 d=1 t=14334
chu fa 	觸發	c=1 d=1 t=2875
chu fa 	除法	c=1 d=1 t=13662
chu fei 	除非	c=1 d=1 t=11578
chu fen 	處分	c=7 d=4.70493 t=17320
chu ji 	初級	c=1 d=1 t=5579
chu kou 	出口	c=1 d=1 t=14492
chu lai 	出來	c=4 d=1.21227 t=14975
chu le 	除了	c=3 d=1 t=9894
chu li 	處理	c=34 d=1.49054 t=16938
chu li qi 	處理器	c=0 d=0.1 t=2475
chu men qu 	出門去	c=1 d=1 t=14903
chu pan 	初判	c=1 d=1 t=5033
chu ru 	出入	c=2 d=1.06142 t=4503
chu shang 	初上	c=0 d=0.1 t=6891
chu sheng ri 	出生日	c=1 d=1 t=1230
chu shi 	初始	c=4 d=2.59427 t=12112
chu shi hua 	初始化	c=12 d=3.63818 t=9688
chu shu 	出書	c=1 d=0.105572 t=4881
chu shu shang 	出書上	c=1 d=1 t=4882
chu xian 	出現	c=3 d=1.00027 t=10613
chu xing 	出行	c=1 d=1 t=2403
chu xue zhe 	初學者	c=2 d=1 t=13812
chu zhan 	出戰	c=1 d=1 t=11690
chu zhan 	出棧	c=1 d=1 t=11691
chu zhi 	處置	c=1 d=1 t=17273
chuan 	傳	c=0 d=0.1 t=9660
chuan bo 	傳播	c=5 d=1.09487 t=9673
chuan bo xing 	傳播性	c=1 d=1 t=9663
chuan bo xing 	傳波形	c=1 d=1 t=9661
chuan dao 	傳導	c=1 d=0.874916 t=7782
chuan dao lv 	傳導率	c=1 d=1 t=7783
chuan di 	傳遞	c=3 d=1.00022 t=7230
chuan di xin xi 	傳遞信息	c=1 d=1 t=12654
chuan gan 	傳感	c=1 d=1 t=3413
chuan gan qi 	傳感器	c=2 d=1.00438 t=4780
chuan guo 	穿過	c=3 d=1 t=15906
chuan guo qu 	穿過去	c=1 d=1 t=11472
chuan rong 	傳榮	c=1 d=1 t=7167
chuan shu 	傳輸	c=2 d=1.17552 t=16918
chuan tong 	傳統	c=6 d=1.037 t=8140
chuan yue 	穿越	c=1 d=1 t=10298
chuang er 	牀而	c=1 d=1 t=670
chuang hu 	窗戶	c=1 d=1 t=14529
chuang jian 	創建	c=4 d=1 t=16035
chuang kou 	窗口	c=6 d=1 t=15015
chuang xin 	創新	c=3 d=1.00025 t=15918
chuang zao 	創造	c=1 d=1 t=10640
chun 	純	c=2 d=0.219433 t=15833
chun jie 	春節	c=3 d=2.55934 t=301
chun qi 	春棋	c=1 d=1 t=2149
chun tian 	春天	c=1 d=1 t=15805
chun xia 	春夏	c=1 d=1 t=14684
ci 	次	c=3 d=1 t=16123
ci 	詞	c=3 d=0.26756 t=7245
ci fang 	次方	c=0 d=0.1 t=16405
ci ke 	此刻	c=2 d=1.06425 t=710
ci shu 	次數	c=2 d=1.00217 t=7542
ci xin 	此新	c=1 d=1 t=714
cong 	從	c=35 d=1.00326 t=15044
cong wu 	從無	c=1 d=1 t=889
cong zhong 	從重	c=2 d=1.956 t=17161
cu 	簇	c=1 d=1 t=14417
cu cao 	粗糙	c=2 d=1 t=13800
cu cha dan fan 	粗茶淡飯	c=1 d=1 t=15656
cu lv 	粗率	c=1 d=1 t=4830
cu lve 	粗略	c=2 d=1.88692 t=4856
cu ti 	粗體	c=1 d=1 t=14245
cui 	崔	c=1 d=1 t=2105
cun 	存	c=1 d=1 t=1529
cun chu 	存儲	c=8 d=1.94649 t=17063
cun jin 	寸金	c=1 d=1 t=11506
cun zai 	存在	c=10 d=1.00097 t=16694
cun zai wen ti 	存在問題	c=1 d=1 t=9707
cun zi li 	村子裏	c=1 d=1 t=13277
cuo biao 	錯表	c=1 d=1 t=8090
cuo bie zi 	錯別字	c=1 d=1 t=9712
cuo guo 	錯過	c=1 d=1 t=4911
cuo wu 	錯誤	c=4 d=1 t=17311
da 	大	c=23 d=1.12729 t=17386
da 	打	c=1 d=1 t=15463
da an 	答案	c=4 d=1.96561 t=13537
da bian 	答辯	c=1 d=1 t=13910
da biao 	打標	c=1 d=1 t=2422
da chang 	大廠	c=1 d=1 t=13822
